r1,referee,method,re_1,re_2,re_3,f1,f1_kd1,f1_total1,f1_kd1,f1_td1,f1_tdp1,f1_ctrl1,f1_sig1,f1_head1,f1_body1,f1_leg1,f1_dis1,f1_cli1,f2,f2_kd1,f2_total1,f2_kd1,f2_td1,f2_tdp1,f2_ctrl1,f2_sig1,f2_head1,f2_body1,f2_leg1,f2_dis1,f2_cli1
Round 2,Mike Beltran,Decision - Unanimous,Chris Lee 28-29.,Dan Furse 28-29.,Sal D'amato 27-29.,AJ Fletcher ,0,68 of 119,0,0 of 1,0%,0:36,62 of 109,55 of 101,4 of 5,3 of 3,55 of 99,6 of 7,Ange Loosa ,0,80 of 112,0,1 of 2,50%,1:11,52 of 83,41 of 71,8 of 9,3 of 3,50 of 80,2 of 3
Round 3,Mike Beltran,Decision - Unanimous,Chris Lee 28-29.,Dan Furse 28-29.,Sal D'amato 27-29.,AJ Fletcher ,0,14 of 21,0,0 of 1,0%,0:00,4 of 11,4 of 11,0 of 0,0 of 0,4 of 11,0 of 0,Ange Loosa ,0,116 of 139,0,0 of 0,---,3:58,38 of 55,32 of 49,5 of 5,1 of 1,13 of 27,2 of 2
Round 1,Tyler Tomlinson,Decision - Unanimous,Sal D'amato 28-29.,Chris Lee 28-29.,Steve Faragher 28-29., Aoriqileng ,0,24 of 37,0,0 of 2,0%,0:01,18 of 31,15 of 26,2 of 3,1 of 2,16 of 29,2 of 2,Jay Perrin ,0,25 of 54,0,1 of 2,50%,1:04,20 of 49,10 of 35,8 of 10,2 of 4,17 of 44,1 of 2
Round 2,Tyler Tomlinson,Decision - Unanimous,Sal D'amato 28-29.,Chris Lee 28-29.,Steve Faragher 28-29., Aoriqileng ,0,47 of 61,0,0 of 0,---,0:01,29 of 43,19 of 33,5 of 5,5 of 5,26 of 39,3 of 4,Jay Perrin ,0,24 of 55,0,1 of 2,50%,2:04,20 of 49,15 of 41,3 of 6,2 of 2,20 of 48,0 of 1
Round 3,Tyler Tomlinson,Decision - Unanimous,Sal D'amato 28-29.,Chris Lee 28-29.,Steve Faragher 28-29., Aoriqileng ,0,31 of 65,0,0 of 1,0%,0:00,25 of 58,17 of 48,7 of 9,1 of 1,19 of 51,6 of 7,Jay Perrin ,0,57 of 79,0,1 of 3,33%,2:51,48 of 69,38 of 59,9 of 9,1 of 1,36 of 56,12 of 13
Round 1,Mike Beltran,Decision - Majority,Mike Bell 28-28.,Junichiro Kamijo 27-29.,Derek Cleary 27-29.,Nate Landwehr ,0,29 of 62,0,0 of 0,---,0:31,21 of 52,13 of 38,4 of 6,4 of 8,14 of 43,4 of 6,David Onama ,1,53 of 101,1,1 of 2,50%,0:43,46 of 91,39 of 80,6 of 10,1 of 1,29 of 64,1 of 3
Round 2,Mike Beltran,Decision - Majority,Mike Bell 28-28.,Junichiro Kamijo 27-29.,Derek Cleary 27-29.,Nate Landwehr ,0,65 of 116,0,3 of 3,100%,3:08,43 of 76,35 of 66,4 of 6,4 of 4,22 of 37,7 of 12,David Onama ,0,9 of 22,0,0 of 2,0%,0:20,8 of 21,7 of 19,1 of 2,0 of 0,6 of 18,0 of 0
Round 3,Mike Beltran,Decision - Majority,Mike Bell 28-28.,Junichiro Kamijo 27-29.,Derek Cleary 27-29.,Nate Landwehr ,0,39 of 75,0,0 of 1,0%,1:26,27 of 57,25 of 50,2 of 6,0 of 1,16 of 40,11 of 17,David Onama ,0,17 of 63,0,0 of 2,0%,0:10,17 of 62,16 of 59,1 of 3,0 of 0,15 of 57,0 of 0
Round 1,Jason Herzog,Decision - Unanimous,Ron McCarthy 27-30.,Derek Cleary 28-29.,Sal D'amato 28-29.,Yazmin Jauregui ,0,31 of 77,0,0 of 0,---,0:02,31 of 77,16 of 55,2 of 4,13 of 18,29 of 72,2 of 5,Iasmin Lucindo ,0,25 of 60,0,0 of 0,---,0:14,25 of 60,15 of 49,7 of 8,3 of 3,23 of 58,2 of 2
Round 2,Jason Herzog,Decision - Unanimous,Ron McCarthy 27-30.,Derek Cleary 28-29.,Sal D'amato 28-29.,Yazmin Jauregui ,0,31 of 70,0,0 of 0,---,0:11,30 of 69,17 of 48,5 of 11,8 of 10,27 of 66,3 of 3,Iasmin Lucindo ,0,23 of 59,0,0 of 2,0%,0:20,23 of 59,17 of 50,3 of 6,3 of 3,23 of 59,0 of 0
Round 3,Jason Herzog,Decision - Unanimous,Ron McCarthy 27-30.,Derek Cleary 28-29.,Sal D'amato 28-29.,Yazmin Jauregui ,0,25 of 72,0,0 of 0,---,0:00,25 of 72,19 of 56,2 of 10,4 of 6,25 of 72,0 of 0,Iasmin Lucindo ,0,18 of 62,0,0 of 0,---,0:00,18 of 62,10 of 49,5 of 8,3 of 5,18 of 62,0 of 0
Round 1,Jason Herzog,Decision - Unanimous,Derek Cleary 28-29.,Junichiro Kamijo 28-29.,Chris Crail 28-29.,Angela Hill ,0,17 of 70,0,0 of 2,0%,0:13,17 of 67,11 of 54,5 of 12,1 of 1,15 of 61,2 of 6,Loopy Godinez ,0,33 of 74,0,0 of 1,0%,0:04,28 of 69,23 of 63,5 of 6,0 of 0,25 of 63,3 of 6
Round 2,Jason Herzog,Decision - Unanimous,Derek Cleary 28-29.,Junichiro Kamijo 28-29.,Chris Crail 28-29.,Angela Hill ,0,32 of 70,0,1 of 3,33%,0:23,29 of 66,19 of 53,10 of 13,0 of 0,24 of 60,2 of 3,Loopy Godinez ,0,27 of 79,0,1 of 1,100%,0:08,27 of 77,23 of 71,4 of 6,0 of 0,25 of 75,2 of 2
Round 3,Jason Herzog,Decision - Unanimous,Derek Cleary 28-29.,Junichiro Kamijo 28-29.,Chris Crail 28-29.,Angela Hill ,0,39 of 85,0,0 of 1,0%,0:00,39 of 85,24 of 66,15 of 19,0 of 0,35 of 80,4 of 5,Loopy Godinez ,0,38 of 97,0,0 of 1,0%,0:05,37 of 95,26 of 79,10 of 15,1 of 1,35 of 92,2 of 3
Round 1,Frank Trigg,Decision - Split,Sal D'amato 28-29.,Mike Bell 29-28.,Eliot Kelly 28-29.,Martin Buday ,0,25 of 63,0,0 of 0,---,0:06,25 of 63,20 of 56,0 of 2,5 of 5,24 of 62,1 of 1,Lukasz Brzeski ,0,47 of 111,0,0 of 0,---,0:00,41 of 104,19 of 74,16 of 21,6 of 9,39 of 99,2 of 5
Round 2,Frank Trigg,Decision - Split,Sal D'amato 28-29.,Mike Bell 29-28.,Eliot Kelly 28-29.,Martin Buday ,0,19 of 55,0,0 of 0,---,0:00,19 of 55,14 of 50,1 of 1,4 of 4,19 of 55,0 of 0,Lukasz Brzeski ,0,43 of 89,0,0 of 0,---,0:00,43 of 89,18 of 59,15 of 20,10 of 10,43 of 89,0 of 0
Round 3,Frank Trigg,Decision - Split,Sal D'amato 28-29.,Mike Bell 29-28.,Eliot Kelly 28-29.,Martin Buday ,0,22 of 70,0,0 of 0,---,0:00,22 of 70,16 of 63,2 of 3,4 of 4,22 of 70,0 of 0,Lukasz Brzeski ,0,34 of 80,0,0 of 0,---,0:00,34 of 80,12 of 49,20 of 28,2 of 3,34 of 80,0 of 0
Round 1,Herb Dean,Decision - Split,Derek Cleary 29-28.,Junichiro Kamijo 28-29.,Chris Crail 27-30.,Cynthia Calvillo ,0,10 of 40,0,1 of 2,50%,0:02,10 of 40,4 of 26,1 of 4,5 of 10,10 of 40,0 of 0,Nina Nunes ,0,10 of 37,0,0 of 0,---,0:00,10 of 37,1 of 21,1 of 4,8 of 12,10 of 37,0 of 0
Round 2,Herb Dean,Decision - Split,Derek Cleary 29-28.,Junichiro Kamijo 28-29.,Chris Crail 27-30.,Cynthia Calvillo ,0,27 of 61,0,1 of 1,100%,1:44,9 of 41,3 of 28,4 of 7,2 of 6,9 of 41,0 of 0,Nina Nunes ,0,16 of 47,0,0 of 1,0%,0:00,9 of 39,5 of 30,1 of 3,3 of 6,8 of 37,1 of 2
Round 3,Herb Dean,Decision - Split,Derek Cleary 29-28.,Junichiro Kamijo 28-29.,Chris Crail 27-30.,Cynthia Calvillo ,0,29 of 58,0,1 of 3,33%,0:23,29 of 58,9 of 32,12 of 15,8 of 11,28 of 57,1 of 1,Nina Nunes ,0,21 of 58,0,0 of 0,---,0:00,20 of 57,11 of 43,2 of 5,7 of 9,20 of 57,0 of 0
Round 1,Herb Dean,Decision - Majority,Chris Crail 28-29.,Sal D'amato 28-28.,Mike Bell 28-28.,Youssef Zalal ,0,9 of 17,0,1 of 1,100%,2:22,1 of 8,0 of 6,0 of 0,1 of 2,1 of 8,0 of 0,Da'Mon Blackshear ,0,12 of 24,0,0 of 0,---,0:43,6 of 13,0 of 4,0 of 0,6 of 9,6 of 13,0 of 0
Round 2,Herb Dean,Decision - Majority,Chris Crail 28-29.,Sal D'amato 28-28.,Mike Bell 28-28.,Youssef Zalal ,0,6 of 10,0,0 of 0,---,1:35,3 of 6,1 of 4,1 of 1,1 of 1,2 of 5,1 of 1,Da'Mon Blackshear ,0,9 of 14,0,1 of 2,50%,3:08,2 of 3,1 of 2,1 of 1,0 of 0,2 of 3,0 of 0
Round 3,Herb Dean,Decision - Majority,Chris Crail 28-29.,Sal D'amato 28-28.,Mike Bell 28-28.,Youssef Zalal ,0,67 of 152,0,0 of 0,---,0:55,59 of 136,42 of 116,12 of 13,5 of 7,39 of 101,4 of 6,Da'Mon Blackshear ,0,19 of 53,0,0 of 3,0%,0:00,19 of 53,9 of 36,5 of 10,5 of 7,19 of 53,0 of 0
Round 1,Mike Beltran,Decision - Unanimous,Jacob Montalvo 45-50.,Doug Crosby 43-50.,Sal D'amato 44-50.,Julianna Pena ,0,21 of 51,0,0 of 0,---,0:00,21 of 51,20 of 49,1 of 2,0 of 0,21 of 50,0 of 1,Amanda Nunes ,0,25 of 47,0,0 of 1,0%,0:00,25 of 47,17 of 37,3 of 3,5 of 7,25 of 47,0 of 0
Round 2,Mike Beltran,Decision - Unanimous,Jacob Montalvo 45-50.,Doug Crosby 43-50.,Sal D'amato 44-50.,Julianna Pena ,0,31 of 72,0,0 of 0,---,0:00,25 of 66,21 of 59,4 of 7,0 of 0,24 of 65,1 of 1,Amanda Nunes ,3,24 of 53,3,0 of 0,---,0:32,19 of 48,13 of 40,4 of 6,2 of 2,19 of 47,0 of 0
Round 3,Mike Beltran,Decision - Unanimous,Jacob Montalvo 45-50.,Doug Crosby 43-50.,Sal D'amato 44-50.,Julianna Pena ,0,31 of 55,0,0 of 0,---,0:00,6 of 21,5 of 20,1 of 1,0 of 0,6 of 20,0 of 1,Amanda Nunes ,0,23 of 35,0,1 of 1,100%,3:02,14 of 23,12 of 20,2 of 3,0 of 0,7 of 13,0 of 1
Round 4,Mike Beltran,Decision - Unanimous,Jacob Montalvo 45-50.,Doug Crosby 43-50.,Sal D'amato 44-50.,Julianna Pena ,0,33 of 42,0,0 of 0,---,0:00,4 of 10,4 of 10,0 of 0,0 of 0,4 of 10,0 of 0,Amanda Nunes ,0,34 of 40,0,3 of 3,100%,3:54,16 of 20,15 of 19,1 of 1,0 of 0,5 of 6,0 of 0
Round 5,Mike Beltran,Decision - Unanimous,Jacob Montalvo 45-50.,Doug Crosby 43-50.,Sal D'amato 44-50.,Julianna Pena ,0,14 of 19,0,0 of 0,---,0:00,4 of 6,4 of 6,0 of 0,0 of 0,4 of 6,0 of 0,Amanda Nunes ,0,20 of 26,0,2 of 3,66%,4:21,11 of 14,10 of 12,0 of 1,1 of 1,1 of 4,0 of 0
Round 1,Dan Miragliotta,Decision - Unanimous,Kent Basinger 27-30.,Seth Fuller 28-29.,Steve Armstrong 28-29.,Alex Morono ,0,33 of 72,0,0 of 1,0%,0:00,30 of 69,24 of 62,6 of 7,0 of 0,27 of 64,3 of 5,Matthew Semelsberger ,0,22 of 75,0,0 of 0,---,0:21,22 of 75,10 of 60,6 of 7,6 of 8,20 of 72,2 of 3
Round 2,Dan Miragliotta,Decision - Unanimous,Kent Basinger 27-30.,Seth Fuller 28-29.,Steve Armstrong 28-29.,Alex Morono ,0,47 of 77,0,0 of 2,0%,0:05,47 of 76,42 of 71,5 of 5,0 of 0,45 of 74,1 of 1,Matthew Semelsberger ,0,32 of 93,0,1 of 1,100%,0:43,26 of 87,14 of 69,4 of 10,8 of 8,20 of 78,1 of 1
Round 3,Dan Miragliotta,Decision - Unanimous,Kent Basinger 27-30.,Seth Fuller 28-29.,Steve Armstrong 28-29.,Alex Morono ,0,39 of 60,0,0 of 1,0%,0:19,29 of 49,26 of 46,3 of 3,0 of 0,26 of 46,3 of 3,Matthew Semelsberger ,1,32 of 73,1,0 of 0,---,1:34,26 of 67,8 of 41,11 of 16,7 of 10,20 of 59,6 of 8
Round 1,Kerry Hatley,Overturned,Dan Mathisen 29-28.,Seth Fuller 28-29.,Kent Basinger 29-28.,Don'Tale Mayes ,0,11 of 40,0,0 of 0,---,0:00,11 of 40,6 of 31,2 of 4,3 of 5,11 of 40,0 of 0,Hamdy Abdelwahab ,1,44 of 67,1,1 of 2,50%,2:00,21 of 40,19 of 37,1 of 2,1 of 1,13 of 30,2 of 2
Round 2,Kerry Hatley,Overturned,Dan Mathisen 29-28.,Seth Fuller 28-29.,Kent Basinger 29-28.,Don'Tale Mayes ,0,27 of 59,0,0 of 0,---,0:00,24 of 56,14 of 44,6 of 8,4 of 4,22 of 51,2 of 5,Hamdy Abdelwahab ,0,20 of 42,0,0 of 0,---,0:45,19 of 41,14 of 36,4 of 4,1 of 1,13 of 32,0 of 0
Round 3,Kerry Hatley,Overturned,Dan Mathisen 29-28.,Seth Fuller 28-29.,Kent Basinger 29-28.,Don'Tale Mayes ,0,16 of 24,0,0 of 0,---,0:00,12 of 20,8 of 15,4 of 5,0 of 0,12 of 20,0 of 0,Hamdy Abdelwahab ,0,42 of 55,0,2 of 2,100%,3:51,18 of 29,18 of 29,0 of 0,0 of 0,4 of 12,0 of 1
Round 1,Jacob Montalvo,Decision - Unanimous,Kent Basinger 28-29.,Steve Armstrong 28-29.,Aaron Menard 28-29.,Drakkar Klose ,0,33 of 53,0,2 of 7,28%,1:49,19 of 30,7 of 17,9 of 10,3 of 3,9 of 18,7 of 8,Rafa Garcia ,0,21 of 30,0,0 of 1,0%,0:06,13 of 22,9 of 18,2 of 2,2 of 2,9 of 17,4 of 5
Round 2,Jacob Montalvo,Decision - Unanimous,Kent Basinger 28-29.,Steve Armstrong 28-29.,Aaron Menard 28-29.,Drakkar Klose ,0,35 of 51,0,0 of 2,0%,0:16,14 of 29,5 of 18,6 of 7,3 of 4,7 of 21,5 of 5,Rafa Garcia ,0,33 of 45,0,2 of 4,50%,2:11,5 of 12,1 of 8,3 of 3,1 of 1,4 of 11,1 of 1
Round 3,Jacob Montalvo,Decision - Unanimous,Kent Basinger 28-29.,Steve Armstrong 28-29.,Aaron Menard 28-29.,Drakkar Klose ,0,43 of 71,0,0 of 1,0%,0:00,28 of 56,12 of 40,12 of 12,4 of 4,16 of 44,12 of 12,Rafa Garcia ,0,29 of 36,0,1 of 6,16%,0:37,16 of 23,13 of 19,3 of 3,0 of 1,10 of 16,6 of 7
Round 1,Mike Beltran,Decision - Split,Seth Fuller 27-30.,Steve Armstrong 29-28.,Kent Basinger 28-29.,Joselyne Edwards ,0,39 of 89,0,0 of 0,---,0:16,33 of 83,10 of 40,15 of 29,8 of 14,32 of 82,1 of 1,Ji Yeon Kim ,0,23 of 58,0,0 of 0,---,0:00,19 of 53,10 of 38,6 of 11,3 of 4,18 of 52,1 of 1
Round 2,Mike Beltran,Decision - Split,Seth Fuller 27-30.,Steve Armstrong 29-28.,Kent Basinger 28-29.,Joselyne Edwards ,0,35 of 81,0,0 of 1,0%,0:00,34 of 80,7 of 28,21 of 42,6 of 10,32 of 78,2 of 2,Ji Yeon Kim ,0,32 of 79,0,0 of 0,---,0:00,32 of 79,11 of 52,10 of 15,11 of 12,30 of 77,2 of 2
Round 3,Mike Beltran,Decision - Split,Seth Fuller 27-30.,Steve Armstrong 29-28.,Kent Basinger 28-29.,Joselyne Edwards ,0,42 of 80,0,1 of 2,50%,1:45,34 of 71,14 of 38,16 of 26,4 of 7,27 of 61,5 of 7,Ji Yeon Kim ,0,32 of 66,0,0 of 0,---,0:19,27 of 61,12 of 42,6 of 9,9 of 10,22 of 53,4 of 7
Round 1,Jacob Montalvo,Decision - Unanimous,Dan Mathisen 28-29.,Seth Fuller 28-29.,Kent Basinger 28-29.,Orion Cosce ,0,18 of 25,0,1 of 5,20%,3:00,8 of 15,4 of 9,3 of 5,1 of 1,2 of 7,3 of 5,Blood Diamond ,0,23 of 31,0,0 of 0,---,0:34,20 of 28,5 of 9,12 of 14,3 of 5,9 of 17,11 of 11
Round 2,Jacob Montalvo,Decision - Unanimous,Dan Mathisen 28-29.,Seth Fuller 28-29.,Kent Basinger 28-29.,Orion Cosce ,0,21 of 34,0,0 of 1,0%,2:20,12 of 25,7 of 19,5 of 6,0 of 0,5 of 13,6 of 9,Blood Diamond ,0,50 of 76,0,0 of 1,0%,0:34,33 of 59,19 of 42,10 of 11,4 of 6,17 of 34,16 of 24
Round 3,Jacob Montalvo,Decision - Unanimous,Dan Mathisen 28-29.,Seth Fuller 28-29.,Kent Basinger 28-29.,Orion Cosce ,0,38 of 48,0,2 of 2,100%,4:06,5 of 12,3 of 10,2 of 2,0 of 0,1 of 7,0 of 0,Blood Diamond ,0,17 of 19,0,0 of 0,---,0:00,10 of 11,4 of 4,4 of 4,2 of 3,8 of 9,2 of 2
Round 1,Marc Goddard,Decision - Unanimous,Darryl Ransom 28-29.,Cezary Wojciechowski 28-29.,Clemens Werner 27-30.,Jack Hermansson ,0,21 of 65,0,0 of 1,0%,0:00,21 of 65,7 of 42,3 of 10,11 of 13,21 of 63,0 of 2,Chris Curtis ,0,7 of 28,0,0 of 0,---,0:00,7 of 28,3 of 23,4 of 5,0 of 0,7 of 28,0 of 0
Round 2,Marc Goddard,Decision - Unanimous,Darryl Ransom 28-29.,Cezary Wojciechowski 28-29.,Clemens Werner 27-30.,Jack Hermansson ,0,45 of 108,0,0 of 2,0%,0:00,45 of 108,26 of 80,10 of 18,9 of 10,44 of 105,1 of 3,Chris Curtis ,0,16 of 40,0,0 of 0,---,0:00,16 of 40,5 of 24,11 of 16,0 of 0,16 of 40,0 of 0
Round 3,Marc Goddard,Decision - Unanimous,Darryl Ransom 28-29.,Cezary Wojciechowski 28-29.,Clemens Werner 27-30.,Jack Hermansson ,0,34 of 78,0,0 of 3,0%,0:00,34 of 78,15 of 54,12 of 17,7 of 7,34 of 78,0 of 0,Chris Curtis ,0,20 of 57,0,0 of 0,---,0:00,20 of 57,10 of 42,10 of 14,0 of 1,18 of 55,2 of 2
Round 1,Lukasz Bosacki,Decision - Unanimous,David Lethaby 27-30.,Vito Paolillo 27-30.,Cezary Wojciechowski 27-30.,Paul Craig ,0,5 of 11,0,0 of 5,0%,0:07,5 of 11,3 of 8,1 of 2,1 of 1,5 of 11,0 of 0,Volkan Oezdemir ,0,26 of 39,0,0 of 0,---,2:01,16 of 29,8 of 21,3 of 3,5 of 5,9 of 19,4 of 4
Round 2,Lukasz Bosacki,Decision - Unanimous,David Lethaby 27-30.,Vito Paolillo 27-30.,Cezary Wojciechowski 27-30.,Paul Craig ,0,23 of 62,0,0 of 6,0%,0:00,16 of 53,10 of 44,5 of 8,1 of 1,15 of 51,1 of 2,Volkan Oezdemir ,0,47 of 73,0,1 of 1,100%,2:09,27 of 48,21 of 42,1 of 1,5 of 5,17 of 35,1 of 1
Round 3,Lukasz Bosacki,Decision - Unanimous,David Lethaby 27-30.,Vito Paolillo 27-30.,Cezary Wojciechowski 27-30.,Paul Craig ,0,13 of 63,0,0 of 4,0%,0:00,12 of 62,5 of 50,4 of 9,3 of 3,12 of 58,0 of 1,Volkan Oezdemir ,0,35 of 58,0,0 of 1,0%,0:59,29 of 52,16 of 38,6 of 7,7 of 7,24 of 43,1 of 1
Round 1,Marc Goddard,Decision - Unanimous,Ben Cartlidge 27-30.,Darryl Ransom 27-30.,Clemens Werner 27-30.,Mason Jones ,0,33 of 68,0,0 of 1,0%,1:10,20 of 55,6 of 39,10 of 12,4 of 4,13 of 47,7 of 8,Ludovit Klein ,0,22 of 45,0,0 of 0,---,0:07,21 of 44,14 of 34,6 of 9,1 of 1,16 of 38,5 of 6
Round 2,Marc Goddard,Decision - Unanimous,Ben Cartlidge 27-30.,Darryl Ransom 27-30.,Clemens Werner 27-30.,Mason Jones ,0,26 of 43,0,0 of 2,0%,0:49,16 of 33,5 of 17,11 of 16,0 of 0,5 of 18,10 of 13,Ludovit Klein ,1,28 of 35,1,0 of 1,0%,2:56,20 of 25,16 of 20,3 of 4,1 of 1,10 of 13,1 of 1
Round 3,Marc Goddard,Decision - Unanimous,Ben Cartlidge 27-30.,Darryl Ransom 27-30.,Clemens Werner 27-30.,Mason Jones ,0,19 of 30,0,0 of 0,---,0:18,7 of 17,5 of 14,2 of 3,0 of 0,3 of 10,4 of 6,Ludovit Klein ,0,20 of 32,0,0 of 0,---,3:38,9 of 18,7 of 14,1 of 3,1 of 1,5 of 12,1 of 2
Round 1,Herb Dean,Decision - Unanimous,Vito Paolillo 26-30.,Cezary Wojciechowski 26-30.,Anders Ohlsson 27-30.,Marc Diakiese ,0,23 of 29,0,3 of 3,100%,4:45,2 of 3,1 of 2,0 of 0,1 of 1,1 of 2,0 of 0,Damir Hadzovic ,0,6 of 6,0,0 of 0,---,0:00,1 of 1,0 of 0,0 of 0,1 of 1,1 of 1,0 of 0
Round 2,Herb Dean,Decision - Unanimous,Vito Paolillo 26-30.,Cezary Wojciechowski 26-30.,Anders Ohlsson 27-30.,Marc Diakiese ,0,19 of 34,0,3 of 5,60%,4:17,8 of 19,6 of 16,0 of 1,2 of 2,4 of 14,2 of 2,Damir Hadzovic ,0,10 of 13,0,0 of 1,0%,0:00,2 of 5,1 of 3,0 of 1,1 of 1,2 of 5,0 of 0
Round 3,Herb Dean,Decision - Unanimous,Vito Paolillo 26-30.,Cezary Wojciechowski 26-30.,Anders Ohlsson 27-30.,Marc Diakiese ,0,36 of 48,0,2 of 3,66%,4:33,3 of 10,1 of 7,0 of 1,2 of 2,2 of 9,0 of 0,Damir Hadzovic ,0,4 of 6,0,0 of 0,---,0:00,2 of 4,2 of 4,0 of 0,0 of 0,2 of 4,0 of 0
Round 1,Lukasz Bosacki,Decision - Unanimous,David Lethaby 26-30.,Darryl Ransom 26-30.,Clemens Werner 27-30.,Nathaniel Wood ,0,43 of 66,0,0 of 0,---,0:03,39 of 62,27 of 44,3 of 7,9 of 11,38 of 61,1 of 1,Charles Rosa ,0,25 of 63,0,1 of 2,50%,0:42,25 of 63,9 of 43,10 of 13,6 of 7,22 of 59,2 of 3
Round 2,Lukasz Bosacki,Decision - Unanimous,David Lethaby 26-30.,Darryl Ransom 26-30.,Clemens Werner 27-30.,Nathaniel Wood ,0,31 of 51,0,1 of 1,100%,0:15,31 of 51,18 of 33,1 of 4,12 of 14,26 of 43,1 of 2,Charles Rosa ,0,12 of 42,0,0 of 3,0%,0:00,12 of 42,6 of 29,2 of 5,4 of 8,11 of 41,1 of 1
Round 3,Lukasz Bosacki,Decision - Unanimous,David Lethaby 26-30.,Darryl Ransom 26-30.,Clemens Werner 27-30.,Nathaniel Wood ,0,28 of 49,0,0 of 0,---,1:07,27 of 46,17 of 34,0 of 2,10 of 10,23 of 40,3 of 4,Charles Rosa ,0,17 of 65,0,1 of 4,25%,0:10,14 of 62,6 of 48,6 of 11,2 of 3,10 of 56,3 of 5
Round 1,Marc Goddard,Decision - Unanimous,David Lethaby 27-30.,Darryl Ransom 27-30.,Clemens Werner 27-30.,Muhammad Mokaev ,0,13 of 22,0,4 of 11,36%,4:08,6 of 12,3 of 7,2 of 4,1 of 1,5 of 11,1 of 1,Charles Johnson ,0,22 of 26,0,0 of 0,---,0:00,1 of 4,1 of 2,0 of 0,0 of 2,0 of 3,1 of 1
Round 2,Marc Goddard,Decision - Unanimous,David Lethaby 27-30.,Darryl Ransom 27-30.,Clemens Werner 27-30.,Muhammad Mokaev ,0,14 of 24,0,3 of 5,60%,3:37,5 of 13,1 of 7,1 of 2,3 of 4,4 of 12,0 of 0,Charles Johnson ,0,28 of 34,0,0 of 0,---,0:02,5 of 9,1 of 1,2 of 4,2 of 4,3 of 7,1 of 1
Round 3,Marc Goddard,Decision - Unanimous,David Lethaby 27-30.,Darryl Ransom 27-30.,Clemens Werner 27-30.,Muhammad Mokaev ,0,5 of 8,0,5 of 10,50%,3:59,1 of 4,1 of 3,0 of 1,0 of 0,1 of 3,0 of 1,Charles Johnson ,0,21 of 24,0,0 of 0,---,0:25,6 of 9,1 of 2,4 of 5,1 of 2,4 of 7,1 of 1
Round 1,Herb Dean,Decision - Unanimous,Ben Cartlidge 28-29.,Anders Ohlsson 28-29.,Darryl Ransom 28-29.,Jai Herbert ,0,17 of 29,0,0 of 0,---,1:18,7 of 19,1 of 13,6 of 6,0 of 0,3 of 15,4 of 4,Kyle Nelson ,0,21 of 30,0,0 of 2,0%,1:18,19 of 27,8 of 14,4 of 6,7 of 7,12 of 20,7 of 7
Round 2,Herb Dean,Decision - Unanimous,Ben Cartlidge 28-29.,Anders Ohlsson 28-29.,Darryl Ransom 28-29.,Jai Herbert ,0,35 of 47,0,0 of 1,0%,1:11,24 of 36,11 of 22,11 of 12,2 of 2,15 of 27,9 of 9,Kyle Nelson ,0,21 of 33,0,0 of 1,0%,0:59,17 of 29,5 of 17,6 of 6,6 of 6,11 of 21,6 of 8
Round 3,Herb Dean,Decision - Unanimous,Ben Cartlidge 28-29.,Anders Ohlsson 28-29.,Darryl Ransom 28-29.,Jai Herbert ,0,32 of 40,0,0 of 0,---,3:28,5 of 9,4 of 8,0 of 0,1 of 1,4 of 8,0 of 0,Kyle Nelson ,0,13 of 14,0,0 of 1,0%,0:49,5 of 6,2 of 3,1 of 1,2 of 2,5 of 6,0 of 0
Round 1,Daniel Movahedi,Decision - Unanimous,Vito Paolillo 27-30.,Clemens Werner 27-30.,Cezary Wojciechowski 27-30.,Mandy Bohm ,0,25 of 36,0,0 of 0,---,0:25,15 of 26,6 of 17,3 of 3,6 of 6,12 of 23,3 of 3,Victoria Leonardo ,0,25 of 46,0,1 of 1,100%,2:30,9 of 30,5 of 22,4 of 6,0 of 2,6 of 27,3 of 3
Round 2,Daniel Movahedi,Decision - Unanimous,Vito Paolillo 27-30.,Clemens Werner 27-30.,Cezary Wojciechowski 27-30.,Mandy Bohm ,0,29 of 47,0,0 of 0,---,0:07,18 of 36,11 of 29,5 of 5,2 of 2,11 of 29,7 of 7,Victoria Leonardo ,0,35 of 60,0,0 of 2,0%,2:15,20 of 43,10 of 30,10 of 11,0 of 2,13 of 35,7 of 8
Round 3,Daniel Movahedi,Decision - Unanimous,Vito Paolillo 27-30.,Clemens Werner 27-30.,Cezary Wojciechowski 27-30.,Mandy Bohm ,0,29 of 41,0,0 of 1,0%,0:23,19 of 31,9 of 20,6 of 7,4 of 4,12 of 23,7 of 7,Victoria Leonardo ,0,25 of 60,0,1 of 3,33%,2:21,10 of 37,6 of 28,4 of 9,0 of 0,6 of 32,3 of 4
Round 1,Lukasz Bosacki,Decision - Unanimous,Ben Cartlidge 28-29.,David Lethaby 28-29.,Anders Ohlsson 27-29.,Claudio Silva ,0,25 of 30,0,1 of 4,25%,4:11,0 of 2,0 of 1,0 of 1,0 of 0,0 of 2,0 of 0,Nicolas Dalby ,0,2 of 4,0,0 of 0,---,0:00,0 of 1,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0
