r1,referee,method,re_1,re_2,re_3,f1,f1_kd1,f1_total1,f1_kd1,f1_td1,f1_tdp1,f1_ctrl1,f1_sig1,f1_head1,f1_body1,f1_leg1,f1_dis1,f1_cli1,f2,f2_kd1,f2_total1,f2_kd1,f2_td1,f2_tdp1,f2_ctrl1,f2_sig1,f2_head1,f2_body1,f2_leg1,f2_dis1,f2_cli1
Round 1,Andrew Glenn,Decision - Split,Junichiro Kamijo 29-28.,Christopher Edgehill 28-29.,Troy Wincapaw 28-29., Sumudaerji ,0,17 of 37,0,0 of 0,---,0:00,11 of 30,5 of 18,1 of 3,5 of 9,11 of 30,0 of 0,Mitch Raposo ,0,8 of 15,0,2 of 7,28%,1:05,5 of 12,5 of 12,0 of 0,0 of 0,4 of 11,1 of 1
Round 2,Andrew Glenn,Decision - Split,Junichiro Kamijo 29-28.,Christopher Edgehill 28-29.,Troy Wincapaw 28-29., Sumudaerji ,0,17 of 44,0,0 of 0,---,0:00,14 of 39,6 of 27,1 of 2,7 of 10,14 of 38,0 of 1,Mitch Raposo ,0,2 of 5,0,1 of 6,16%,1:16,2 of 5,1 of 4,0 of 0,1 of 1,2 of 5,0 of 0
Round 3,Andrew Glenn,Decision - Split,Junichiro Kamijo 29-28.,Christopher Edgehill 28-29.,Troy Wincapaw 28-29., Sumudaerji ,0,44 of 69,0,0 of 0,---,0:00,20 of 45,14 of 39,3 of 3,3 of 3,14 of 36,6 of 9,Mitch Raposo ,0,3 of 10,0,3 of 6,50%,1:57,2 of 9,2 of 9,0 of 0,0 of 0,2 of 9,0 of 0
Round 1,Jason Herzog,Decision - Unanimous,Ben Cartlidge 47-48.,Sal D'amato 47-48.,Eric Colon 46-49.,Josh Emmett ,0,10 of 28,0,1 of 1,100%,0:05,10 of 28,6 of 23,3 of 4,1 of 1,10 of 26,0 of 1,Lerone Murphy ,0,11 of 26,0,0 of 0,---,0:00,10 of 24,5 of 16,3 of 5,2 of 3,10 of 24,0 of 0
Round 2,Jason Herzog,Decision - Unanimous,Ben Cartlidge 47-48.,Sal D'amato 47-48.,Eric Colon 46-49.,Josh Emmett ,0,3 of 11,0,2 of 5,40%,1:50,2 of 8,1 of 7,0 of 0,1 of 1,2 of 6,0 of 1,Lerone Murphy ,0,26 of 35,0,0 of 0,---,0:06,13 of 21,2 of 7,6 of 9,5 of 5,9 of 17,4 of 4
Round 3,Jason Herzog,Decision - Unanimous,Ben Cartlidge 47-48.,Sal D'amato 47-48.,Eric Colon 46-49.,Josh Emmett ,0,7 of 28,0,1 of 2,50%,1:01,5 of 25,3 of 19,2 of 4,0 of 2,5 of 22,0 of 2,Lerone Murphy ,0,33 of 50,0,0 of 0,---,0:00,21 of 36,11 of 24,3 of 4,7 of 8,16 of 31,5 of 5
Round 4,Jason Herzog,Decision - Unanimous,Ben Cartlidge 47-48.,Sal D'amato 47-48.,Eric Colon 46-49.,Josh Emmett ,0,13 of 38,0,0 of 2,0%,0:28,13 of 38,9 of 34,1 of 1,3 of 3,12 of 37,1 of 1,Lerone Murphy ,0,26 of 46,0,0 of 0,---,0:00,22 of 41,9 of 22,4 of 7,9 of 12,22 of 41,0 of 0
Round 5,Jason Herzog,Decision - Unanimous,Ben Cartlidge 47-48.,Sal D'amato 47-48.,Eric Colon 46-49.,Josh Emmett ,0,11 of 44,0,0 of 1,0%,0:15,11 of 44,10 of 41,0 of 2,1 of 1,11 of 42,0 of 2,Lerone Murphy ,0,21 of 38,0,0 of 0,---,0:00,18 of 35,10 of 21,1 of 5,7 of 9,18 of 35,0 of 0
Round 1,Keith Peterson,Decision - Unanimous,Sal D'amato 26-30.,Chris Leben 26-30.,David Lethaby 27-30.,Pat Sabatini ,0,22 of 28,0,2 of 2,100%,4:43,12 of 14,12 of 13,0 of 1,0 of 0,0 of 1,1 of 1,Joanderson Brito ,0,10 of 12,0,0 of 0,---,0:00,1 of 1,0 of 0,1 of 1,0 of 0,1 of 1,0 of 0
Round 2,Keith Peterson,Decision - Unanimous,Sal D'amato 26-30.,Chris Leben 26-30.,David Lethaby 27-30.,Pat Sabatini ,0,52 of 59,0,1 of 2,50%,4:34,6 of 8,4 of 6,2 of 2,0 of 0,1 of 3,0 of 0,Joanderson Brito ,0,13 of 24,0,0 of 0,---,0:00,2 of 4,2 of 3,0 of 0,0 of 1,2 of 4,0 of 0
